date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:14	34327/34327	---MCZ	200	added ('OK')	text/html	etag:W/%22df0f794920fd04bcaad18e4c316886b1%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=16	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements2728.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:15	34217/34217	---MCZ	200	added ('OK')	text/html	etag:W/%228ff86d02c93bf694ab345a6beb1a425e%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=56	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsadbc.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:16	34396/34396	---MCZ	200	added ('OK')	text/html	etag:W/%22207865c4e4b9a540c591cf6dfedc0108%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=193	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3c6f.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:17	35054/35054	---MCZ	200	added ('OK')	text/html	etag:W/%227882251fc8c1919df5e811ec92b29cca%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=43	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements2580.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:18	34889/34889	---MCZ	200	added ('OK')	text/html	etag:W/%2276af9936128d5a350e79903f4b82f7a9%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=106	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsec28.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:19	34214/34214	---MCZ	200	added ('OK')	text/html	etag:W/%2268feabc1c9354ff6434db676e5450072%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=160	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements2497.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:20	35216/35216	---MCZ	200	added ('OK')	text/html	etag:W/%22cc8801e850e4d947b39684e86882c99a%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=178	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4a77.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:21	34257/34257	---MCZ	200	added ('OK')	text/html	etag:W/%2228d143b03871859bed08022d1dd58b48%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=218	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements9d6c.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:22	34209/34209	---MCZ	200	added ('OK')	text/html	etag:W/%22c1de4ac385376b60842fc219f695730c%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=272	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsae0c.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:23	34317/34317	---MCZ	200	added ('OK')	text/html	etag:W/%2267fe1856e117a48ed8c00346646f3000%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=38	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementscdef.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:24	55412/55412	---MCZ	200	added ('OK')	text/html	etag:W/%222be71e3b7d827ec4cc9a4daf96540d10%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=1	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements2679.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:25	57603/57603	---MCZ	200	added ('OK')	text/html	etag:W/%22b17bd3b8ed3744e15f8f9e50ca23a76e%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=2	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4658.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:26	57062/57062	---MCZ	200	added ('OK')	text/html	etag:W/%22792b3f4630b0a89cd1efcb5d94ebf664%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=3	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements9ba9.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:27	56277/56277	---MCZ	200	added ('OK')	text/html	etag:W/%22e61d46a3b1a12ac03a8aa23e0c618d11%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=4	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsfdb0.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:28	58277/58277	---MCZ	200	added ('OK')	text/html	etag:W/%222c412b78ff4cebaa4511525ca64c18a6%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=5	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsaf4d.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:29	35363/35363	---MCZ	200	added ('OK')	text/html	etag:W/%2200a48e98a01ffd95e1b1549ce36c1d5b%22	https://windexchange.energy.gov/projects/community-benefit-agreements?page=30	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsb385.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:30	21736/21736	---MCZ	200	added ('OK')	text/html	etag:W/%22b028578201997c97925dd9ab7e08d196%22	https://windexchange.energy.gov/projects/safety	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/safety.html	(from https://windexchange.energy.gov/projects/community)
21:56:31	25210/25210	---MCZ	200	added ('OK')	text/html	etag:W/%22f48fb298f2d1655b1e5ff10099df90c7%22	https://windexchange.energy.gov/projects/sound	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/sound.html	(from https://windexchange.energy.gov/projects/community)
21:56:32	21257/21257	---MCZ	200	added ('OK')	text/html	etag:W/%22686161572508530f3c6280f767ad25b3%22	https://windexchange.energy.gov/projects/property-values	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/property-values.html	(from https://windexchange.energy.gov/projects/community)
21:56:33	20202/20202	---MCZ	200	added ('OK')	text/html	etag:W/%22d9b10c380d4de3ae69aae4aa416517ef%22	https://windexchange.energy.gov/projects/shadow-flicker	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/shadow-flicker.html	(from https://windexchange.energy.gov/projects/community)
21:56:34	24937/24937	---MCZ	200	added ('OK')	text/html	etag:W/%22fbbf6df919b1bbcbe5759b74fdb090c0%22	https://windexchange.energy.gov/projects/radar-interference	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/radar-interference.html	(from https://windexchange.energy.gov/projects/community)
21:56:35	19360/19360	---MCZ	200	added ('OK')	text/html	etag:W/%22acdbf7261ec123ae9582b896bc5dcaa7%22	https://windexchange.energy.gov/projects/viewshed	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/viewshed.html	(from https://windexchange.energy.gov/projects/community)
21:56:36	34518/34518	---MCZ	200	added ('OK')	text/html	etag:W/%2286362e75d37b35608029bb36903c84f3%22	https://windexchange.energy.gov/projects/ordinances	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/ordinances.html	(from https://windexchange.energy.gov/projects/community)
21:56:37	13077/13077	---MCZ	200	added ('OK')	text/html	etag:W/%229217f16d50eac2d69162ffe320e1ce21%22	https://windexchange.energy.gov/projects/equity-map	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/equity-map.html	(from https://windexchange.energy.gov/projects/equity)
21:56:38	18416/18416	---MCZ	200	added ('OK')	text/html	etag:W/%226563f6f0578f28b2a2cee6f102787f37%22	https://windexchange.energy.gov/projects/permitting	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/permitting.html	(from https://windexchange.energy.gov/projects/site-selection)
21:56:39	22584/22584	---MCZ	200	added ('OK')	text/html	etag:W/%22c0c481075af70efffd164b7f9bc18e37%22	https://windexchange.energy.gov/projects/public-lands	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/public-lands.html	(from https://windexchange.energy.gov/projects/site-selection)
21:56:40	27442/27442	---MCZ	200	added ('OK')	text/html	etag:W/%226e3d66c82ff005d9043ff1005b7c7ca0%22	https://windexchange.energy.gov/projects/bats	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/bats.html	(from https://windexchange.energy.gov/projects/wildlife)
21:56:41	30105/30105	---MCZ	200	added ('OK')	text/html	etag:W/%22c4d3daf8654470955f17c59632d132c3%22	https://windexchange.energy.gov/projects/birds	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/birds.html	(from https://windexchange.energy.gov/projects/wildlife)
21:56:42	22809/22809	---MCZ	200	added ('OK')	text/html	etag:W/%22b5dcaa6d2bdd8db8879b49935ab08692%22	https://windexchange.energy.gov/projects/marine-mammals	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/marine-mammals.html	(from https://windexchange.energy.gov/projects/wildlife)
21:56:43	22160/22160	---MCZ	200	added ('OK')	text/html	etag:W/%22b8013a993970cf9a5b0f3c8e6735a5e0%22	https://windexchange.energy.gov/projects/jedi	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/jedi.html	(from https://windexchange.energy.gov/projects/economic-tools)
21:56:44	54280/54280	---MCZ	200	added ('OK')	text/html	etag:W/%226418baa907f835dbf6dbb3a177053188%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&sort_dir=desc	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements179a.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:45	56229/56229	---MCZ	200	added ('OK')	text/html	etag:W/%22cb07476879950266b86399b29ed73c9e%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsf527.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:46	34310/34310	---MCZ	200	added ('OK')	text/html	etag:W/%22958a1a23469bb357c57fe10cf090df5a%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=1	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements681a.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:47	34090/34090	---MCZ	200	added ('OK')	text/html	etag:W/%22b9f6f709ccd67e9faf802e4d718fa438%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=2	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements0b30.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:48	34549/34549	---MCZ	200	added ('OK')	text/html	etag:W/%22bc8baa6327c2ca22b332c962b025eca7%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=3	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsd708.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:49	34670/34670	---MCZ	200	added ('OK')	text/html	etag:W/%22de9533e4daa84e3db2efe5a519a3a50c%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=4	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsdcfd.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:50	34952/34952	---MCZ	200	added ('OK')	text/html	etag:W/%22f72e584800e81c83052fbe526fc2941a%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=5	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsd61c.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:51	34402/34402	---MCZ	200	added ('OK')	text/html	etag:W/%22a72e32fb6ee519872638f5ef68c3a77e%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=6	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3a9f.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:52	35917/35917	---MCZ	200	added ('OK')	text/html	etag:W/%2206f22ac17d249dab5de3882c9663efdd%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=7	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements8803.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:53	34323/34323	---MCZ	200	added ('OK')	text/html	etag:W/%228319ff319e45991140493c2c2295900c%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=8	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsc3c9.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:54	34309/34309	---MCZ	200	added ('OK')	text/html	etag:W/%22beb66475bd687de7a76008e71997e438%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=9	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements5255.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:55	34966/34966	---MCZ	200	added ('OK')	text/html	etag:W/%22c004cf167e75206dd957575e0d2e6a46%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=10	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsf41b.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:56	57159/57159	---MCZ	200	added ('OK')	text/html	etag:W/%22f9df7f396a74b2f1f94f74af1ab1aaab%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=1	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3552.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:57	56705/56705	---MCZ	200	added ('OK')	text/html	etag:W/%22864e53da79628c7950c97ed1cd5df615%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=2	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements92af.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:58	57978/57978	---MCZ	200	added ('OK')	text/html	etag:W/%22ed6f7e6b6c514eba34a298e3959df368%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=3	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements97ec.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:56:59	59483/59483	---MCZ	200	added ('OK')	text/html	etag:W/%222b6653369d6af7412f36d6d09955deb6%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=4	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements878f.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:57:00	55876/55876	---MCZ	200	added ('OK')	text/html	etag:W/%2294670c21b2536ec2fa99c7121e1eff13%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=5	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements816a.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:57:01	35574/35574	---MCZ	200	added ('OK')	text/html	etag:W/%223c722a37902892b15fcd014206ae4fb1%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name&page=30	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsc839.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name)
21:57:02	34946/34946	---MCZ	200	added ('OK')	text/html	etag:W/%22f616089f7dcc6c5f2007f294468351f8%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=51	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements7d36.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:03	34211/34211	---MCZ	200	added ('OK')	text/html	etag:W/%2271283f0c020519f276411d1706b2570f%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=48	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4944.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:04	33638/33638	---MCZ	200	added ('OK')	text/html	etag:W/%22c6b950cdc0bb8f65d1ff974baa17a7ed%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=206	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements8f26.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:05	34571/34571	---MCZ	200	added ('OK')	text/html	etag:W/%22191f91c5c57a3fbe15d591b93694ec04%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=88	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements0641.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:06	34175/34175	---MCZ	200	added ('OK')	text/html	etag:W/%229ac18b4a43b0b744d3acd205579a77cc%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=131	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements6d44.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:07	34312/34312	---MCZ	200	added ('OK')	text/html	etag:W/%22372e935df87b2e8c9975c1cec7077665%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=158	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsa7a0.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:08	35771/35771	---MCZ	200	added ('OK')	text/html	etag:W/%229e7bb8bfedc0b30805d9a24c7055987e%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=197	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4325.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:09	35228/35228	---MCZ	200	added ('OK')	text/html	etag:W/%22f10d22fc195ea6babc6090f94787c0d9%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=27	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3773.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:10	34656/34656	---MCZ	200	added ('OK')	text/html	etag:W/%22151dc86287ff2d7d372b38e7f1e3a49b%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=210	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements2372.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:11	34287/34287	---MCZ	200	added ('OK')	text/html	etag:W/%223754ca28b14f96636db83bcc7f225d10%22	https://windexchange.energy.gov/projects/community-benefit-agreements?id=234	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements8c3c.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:12	56432/56432	---MCZ	200	added ('OK')	text/html	etag:W/%22207575f8b39a02a763cf1ca858cac006%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc&page=1	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements03ef.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:13	57569/57569	---MCZ	200	added ('OK')	text/html	etag:W/%227a5486b23b90afeca9c0f0da91e02bc5%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc&page=2	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsfc6b.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:14	58205/58205	---MCZ	200	added ('OK')	text/html	etag:W/%223d9b999dd2c0d34ed275387f71f0eae7%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc&page=3	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsa7e4.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:15	60057/60057	---MCZ	200	added ('OK')	text/html	etag:W/%2268f128ffa12afed327beb6b962faf129%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc&page=4	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements0953.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
21:57:16	58070/58070	---MCZ	200	added ('OK')	text/html	etag:W/%22130df4956d95c18190f9be091d3bf8af%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc&page=5	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3e0a.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc)
