Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Copenhagen,"Lewis County, Chautauqua County",New York,Formal agreement,2018,RES / EDF Renewables,40,80.0,Fund,"- Through a host community agreement with the town of Denmark, Copenhagen Wind provides host community fees; in the first year of construction, these fees totaled $430,000. This is in addition to PILOT (payment in lieu of taxes) payments made to taxing jurisdictions.

- The community and EDF Renewables worked together to create the WinDenmark, a group of citizens from the town of Denmark, to distribute funds donated to the community by EDF Renewables. The group’s funds are managed by the Northern New York Community Foundation, with a committee of community members who do not stand to profit from the wind project making decisions about how to distribute funds.

- RES (project contractor), Vestas (turbine supplier), and the local community have collaborated to purchase new playground equipment for the Copenhagen Central School District.","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://www.edf-re.com/project/copenhagen-wind/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Eight Point,Steuben County,New York,Formal agreement,2023,NextEra Energy Resources,25,116.5,,"- Through a host community agreement with the town of West Union, NextEra will annually pay $3,000 per megawatt of generating capacity installed in the town. Payments are increased annually by 3% of the prior year. The agreement also includes reimbursement of legal and engineering fees incurred by West Union related to the project. This is in addition to tax revenues or tax agreements for the project.",https://climate.law.columbia.edu/sites/default/files/content/CBAs/Eight%20Point%20Wind%20LLC.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Fenner,Madison,New York,Formal agreement,2001,Atlantic Renewable Energy / Enel Green Power,20,30.0,,"- Through a host community agreement with the town of Fenner, Fenner Wind paid $5,000 per megawatt in annual host community fees for the first 15 years of operation. This was in addition to the PILOT (payment in lieu of taxes) payments made by the project.",https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133111,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,High Sheldon,Wyoming County,New York,Formal agreement,2009,Invenergy,75,112.0,,"- The Town of Sheldon receives at least $6,693 per megawatt annually in host community fees, which are increased with inflation. This is in addition to PILOT (payment in lieu of taxes) fees paid to the county, town, and school district.",,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Jericho Rise,Franklin County,New York,Formal agreement,2016,EDP Renewables,37,77.0,,"- Through host community agreements with the towns of Chateaugay and Bellmont, Jericho Rise provides a base payment of $5,000 per megawatt per year to each town; these amounts increase with inflation. This is in addition to PILOT (payment in lieu of taxes) payments that go to the taxing jurisdictions and school district. In 2018, Jericho Rise paid a total of $1,089,000 in PILOT, host community, and economic development fees.","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://www.pressrepublican.com/news/local_news/chateaugay-oks-jericho-rise-wind-farm/article_1199ac17-b3c9-5fcf-865d-656277254f27.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Marble River,Clinton County,New York,Formal agreement,2012,EDP Renewables,70,215.0,,"- Through host community agreements with the towns of Ellenburg and Clinton, Marble River Wind pays a minimum of $3,000 per megawatt annually to each town; these payments increase with inflation. The amount that each town receives is dependent on how much of the project's generating capacity is located in that town; at the time of signing the agreements, Clinton would receive at least $554,000 annually and Ellenberg would receive at least $132,000 annually. This is in addition to PILOT (payment in lieu of taxes) payments from the project.","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://www.edpr.com/north-america/sites/edprna/files/2020-12/09Marble%20River%20Appendix%20B%20Dividers.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Marsh Hill,Steuben County,New York,Donation/support to local cause,2014,Invenergy,10,16.0,,"- In 2017, Invenergy donated $5,000 to the Jasper-Troupsburg Future Farmers of America.",https://www.eveningtribune.com/story/news/education/2017/10/02/wind-generates-cash-for-jasper/18685058007/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Altona,Clinton County,New York,Formal agreement,2009,Noble Environmental Power / AES,65,97.0,," -  Through a host community agreement with the Town of Altona, Noble Altona provides the town with a minimum of $3,000 per megawatt, approximately $292,500 total, per year; these payments increase with inflation. This is in addition to PILOT (payment in lieu of taxes) agreements with the town, county, and school district.

- Since 2022, AES has provided more than $120,000 in donations in Clinton County, including donations to the Ellenburg Center Fire Department, Altona Fire Department, Churubusco Fire Department, and North Adirondacks Central School District. These donations are associated with three AES wind projects in Clinton County: Clinton, Ellenburg, and Altona. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability. ","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133106, https://www.aes.com/altona-wind",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Bliss,Wyoming County,New York,Formal agreement,2008,Noble Environmental Power / AES,67,101.0,Donation/support to local cause," - Through a host community agreement with the Town of Eagle, Noble Bliss provides the town with a minimum of $6,400 per megawatt per year; these payments increase with inflation. This is in addition to PILOT (payment in lieu of taxes) agreements with the town, county, school districts, and other taxing jurisdictions. With this revenue, the Town of Eagle has eliminated taxes and garbage fees.

- Since 2022, AES has provided more than $120,000 in donations in Wyoming County, including donations to the Autism Nature Trail, Friends of Letchworth State Park, Village of Arcade, Eagle Free Library, and Peers Together of Wyoming County. These donations are associated with both of AES' wind projects in Wyoming County: Chateaugay and Wethersfield. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability.","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133108, https://www.aes.com/bliss-wind",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Chateaugay,Franklin County,New York,Formal agreement,2009,Noble Environmental Power / AES,71,107.0,Donation/support to local cause," - Through a host community agreement with the Town of Chateaugay, Noble Chateaugay pays a minimum of $3,000 per megawatt, totaling about $321,000, per year; these payments increase with inflation. The county, town and school district also receive PILOT payments of $3,000 per megawatt, subject to inflation.

 - Since 2021, AES has provided more than $130,000 in donations in Franklin County, including donations to Chateaugay Revitalization Committee, Chateaugay Rotary, Chateaugay Central School, North Franklin Education Center, Burke Volunteer Fire Department, Burke Adult Center, Burke Foothills EMS Center, Wilder Farm, Citizen Advocates in Malone, Malone Minor Hockey, and the Chateaugay 10K Committee. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability.","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://www.aes.com/chateaugay-wind, https://www.aes.com/sites/default/files/2022-12/2022.12.08%20Chateaugay%20Community%20Meeting%20Boards%20FINAL.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Clinton,Clinton County,New York,Formal agreement,2008,Noble Environmental Power / AES,67,102.0,Donation/support to local cause,"- Through a host community agreement with the Town of Clinton, Noble Clinton pays $3,000 per megawatt annually in host community fees; these payments increase with inflation. This is in addition to PILOT (payment in lieu of taxes) payments to the the county, town, and school district.

- Since 2022, AES has provided more than $120,000 in donations in Clinton County, including donations to the Ellenburg Center Fire Department, Altona Fire Department, Churubusco Fire Department, and North Adirondacks Central School District. These donations are associated with three AES wind projects in Clinton County: Clinton, Ellenburg, and Altona. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability. ","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133107, https://www.aes.com/new-york/project/clinton-wind",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Ellenburg,Clinton County,New York,Formal agreement,2008,Noble Environmental Power / AES,54,81.0,Donation/support to local cause," - Through a host community agreement with the Town of Ellenburg, Noble Ellenburg pays a minimum of $3,000 per megawatt, totaling around $243,000, in Host Community payments; these payments increase with inflation. 

 - Since 2022, AES has provided more than $120,000 in donations in Clinton County, including donations to the Ellenburg Center Fire Department, Altona Fire Department, Churubusco Fire Department, and North Adirondacks Central School District. These donations are associated with three AES wind projects in Clinton County: Clinton, Ellenburg, and Altona. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability. ","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133109, https://www.aes.com/ellenburg-wind",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Noble Wethersfield,Wyoming County,New York,Donation/support to local cause,2009,Noble Environmental Power / AES,84,126.0,,"- Since 2022, AES has provided more than $120,000 in donations in Wyoming County, including donations to the Autism Nature Trail, Friends of Letchworth State Park, Village of Arcade, Eagle Free Library, and Peers Together of Wyoming County. These donations are associated with both of AES' wind projects in Wyoming County: Chateaugay and Wethersfield. AES' Social Impact Program focuses on access to efficient and affordable energy and basic services, inclusive economic growth, education, community resilience, and environmental sustainability.",https://www.aes.com/wethersfield-wind,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Number Three Wind Energy Center,Lewis County,New York,Fund,2023,Invenergy,27,103.9,,"- Invenergy established a $6 million community support fund through Number Three, which can be used throughout Lewis County over the next 30 years (2023-2053). Funds can begiven to a variety of recipients, including small businesses, nonprofits, and municipalities.",https://www.informnny.com/abc50-now/lewis-countys-new-wind-farm-to-provide-community-funding/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Orangeville,Wyoming County,New York,Formal agreement,2013,Invenergy,58,94.0,Donation/support to local cause,"- Through a host community agreement with the town of Orangeville, Orangeville Wind pays host community fees; the exact financial structure has not been made public, but in 2018, the town received $517,342 in host community fees. The host community agreement and PILOT (payment in lieu of taxes) agreement total $667,000 annually for the town of Orangeville.

- In 2020, Orangeville Wind donated funds to repair and maintain facilities at the Wyoming County 4-H Camp. ","https://d3n8a8pro7vhmx.cloudfront.net/heritagewindpower/pages/1495/attachments/original/1568133111/Updated_wind_one_sheet_20190131.pdf?1568133105, https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt3064c4374318ff9d/63f39597636425106de3ca5d/Invenergy-2020-Impact-Report_2022-06-07-164350_fwei.pdf, https://www.thedailynewsonline.com/news/orangeville-oks-host-agreement-for-wind-farm/article_c8f06966-4d6c-58d7-bef3-c5c5a2cba3b6.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy port,South Brooklyn Marine Terminal,Brooklyn,New York,Fund,2024-,Equinor / New York City Economic Development Corporation,0,0.0,Non-financial,"- In 2022, NYC Economic Development Corporation (NYC EDC) and Equinor committed to establishing a $5 million ecosystem fund to support New York City residents in entering the offshore wind industry. The clean energy community grant fund is designed to support sustainable growth, workforce development, empowerment of underserved communities, and climate justice in the city’s emerging offshore wind ecosystem.

- In 2023, NYC EDC established the Waterfront Pathways program, which provides education and direct support to help businesses navigate the contract bidding process. The program aims to increase opportunities for minority-, women-, and disadvantaged-owned business enterprises in the offshore wind and waterfront industries

- Equinor has committed to making the port a low-emissions facility.

- As suggested by the community, Equinor will establish an offshore wind energy learning center near the terminal.","https://www1.nyc.gov/office-of-the-mayor/news/105-22/mayor-adams-agreement-transform-south-brooklyn-marine-terminal-leading-offshore#/0, https://edc.nyc/press-release/construction-underway-transform-sbmt-into-largest-us-offshore-wind-port",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy cable landing,South Fork,East Hampton,New York,Formal agreement,2023,Ørsted / Eversource,0,0.0,Fund,"- Through a host community agreement with Ørsted and Eversource, the town of East Hampton, NY and trustee boards will receive approximately $29 million in addition to property taxes. The agreement includes a $500,000 payment after the agreement was signed, a $500,000 payment after the project began operating, and $700,000 annually (with annual increases) for 25 years. The agreement also establishes a $5.5 million fund held by the town, called the Wainscott Fund, which will be paid into when operations begin and one year into operations. The developers are required to employ a liaison to facilitate communications between the company and the commercial fishing community for the life of the project.","http://ehamptonny.gov/DocumentCenter/View/8228/South-Fork-Wind-Farm-Final-Host-Community-Agreement, https://www.offshorewind.biz/2020/09/14/orsted-agrees-to-multi-million-south-fork-community-benefit-package/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy cable landing,Sunrise,Brookhaven,New York,Formal agreement,Under construction in 2024,Ørsted / Eversource,0,0.0,,"- In 2023, the town of Brookhaven, NY signed a host community agreement with Sunrise Wind that will provide a $168.9 million benefit package to the town, county, and other jurisdictions. The package includes $135.95 million in impact fees, which will be paid in 25 installments of $5 million to $6 million annually, starting once the Sunrise project begins producing power; additionally, the package includes a $3 million parks payment aimed to improve public parks and open space and a $2 million hamlet payment that will go toward ambulance and public health services. Within the agreement is also a $28 million PILOT (payment in lieu of taxes) payment. The town of Brookhaven will receive $130 million from the agreement, with Suffolk County and local school districts sharing the remaining amount.

- Prior to signing the agreement, Brookhaven's Industrial Development Agency signed a different agreement providing Sunrise Wind with $90 million in tax breaks for construction of the cable landing and an operations center.","https://www.newsday.com/long-island/politics/sunrise-wind-energy-brookhaven-suffolk-county-orsted-eversource-ed-romaine-fe65muw8, https://sunrisewindny.com/news/2023/03/local-benefits-agreements-to-advance-sunrise-wind-project",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Aurora,Williams County,North Dakota,Fund,2021,Tradewind Energy / Enel Green Power,71,299.0,Donation/support to local cause,"- During the COVID-19 pandemic, Enel donated $58,000 to first responders: the Tioga Medical Center, Ray Volunteer Fire District, Tioga Volunteer Fire District and Wildrose Volunteer Fire District. Funds were used for training, necessary equipment, and COVID-19 emergency response needs.

- As part of a multi-year commitment, Enel has sponsored the annual Drone Camp for Kids in Tioga to engage local students in STEM education. 

- Enel established a scholarship at Lake Region State College for students seeking an Associate in Applied Science in Wind Energy Technology or completing the wind turbine technician program, with preference given to students from Williams County and/or graduates of Tioga High School.

- Enel contributed to a $1 million industry-supported technical skills grant, which is matched with funding from the state of North Dakota. Enel’s contribution supports unmanned aerial systems (UAS) training and re-skilling for adult learners in the oil and gas community.","https://www.enelgreenpower.com/our-projects/operating/aurora-wind-farm, https://www.lrsc.edu/news/2019-11-12/scholarships-wind-energy-students, https://image.dem.enel.com/lib/fe3611737364047d7d1671/m/1/416a55a6-6835-4ab2-957f-e6805bf77b6f.pdf, https://image.dem.enel.com/lib/fe3611737364047d7d1671/m/1/416a55a6-6835-4ab2-957f-e6805bf77b6f.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,"Bison 1, 2, 3, & 4","Morton County, Oliver County, Mercer County",North Dakota,Non-financial,2010-2014,ALLETE Clean Energy,150,307.8,,"- Minnesota Power, a division of ALLETE Clean Energy, donated hydraulic equipment that will support hands-on training for Lake Region State College’s Wind Energy Technician Students. Tim Mork, Reliability Coordinator for the Bison Wind site, led the effort to secure the donation to the college.",https://www.hillsdale.net/story/business/2011/12/14/minnesota-power-donates-equipment-to/64048327007/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Brady Wind I & II,"Stark County, Hettinger County",North Dakota,Donation/support to local cause,2016,NextEra Energy Resources,159,300.0,,"- NextEra Energy Resources has donated $20,000 total to two emergency services; the New England Ambulance Service and New England Volunteer Fire Department each received $10,000 to support their services in Hettinger and Stark counties.",https://www.nexteraenergyresources.com/company/community/support.html,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Courtenay,Stutsman County,North Dakota,Fund,2016,Geronimo Energy / Xcel Energy,100,200.0,,"- The Courtenay Community Fund was established in 2017 by Geronimo Energy to benefit the communities near the Courtenay Wind Farm by providing grants to nonprofit and community projects and programs. Geronimo Energy made a lump sum donation to establish  the fund, which provides $40,000 annually over a 20 year period (a total of $800,000). The fund is administered by the North Dakota Community Foundation, but grant disperal is advised one to two times per year by a local board of community members and wind farm participating landowners. Grants have gone to a variety of organizations, including the city of Courtenay for the Courtenay Community Center, the Courtenay Community BBQ Association, the Courtenay Rural Fire Protection District for equipment purchase and upgrades, LaBrash-Altriner Post 236 of the American Legion for accessibility upgrades, St. Boniface Wimbledon for a youth program, and the Trailblazers 4H Club.","https://www.ndcf.net/learn/community-endowment-funds/courtenay.html, https://www.windpowerengineering.com/geronimo-energy-funds-charitable-component-courtenay-wind-farm-north-dakota/, https://nationalgridrenewables.com/videos/what-are-community-funds/, https://www.geronimoenergy.com/wp-content/themes/geronimo/pdf/Other/Geronimo%20Community%20Fund%20and%20Econ%20Impact%20Overview%20FINAL%20-%20email%20version.pdf, https://www.windpowerengineering.com/geronimo-energy-funds-charitable-component-courtenay-wind-farm-north-dakota/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Crow Lake / Prairie Winds 1 ND & SD,"Jerauld County, Brule County, Aurora County",North Dakota,Donation/support to local cause,"2010, 2011",Basin Electric Power Cooperative,101,151.5,Non-financial,"- Basin Electric Cooperative donates $500 annually to the Max, ND fire department and runs an annual awareness training to familiarize emergency responders with the wind facility. The small volunteer fire department is able to send several firefighters to the state fire school each February for training thanks to the donation.",https://basinelectric.wordpress.com/2017/12/21/max-fire-department-benefits-from-annual-donation-training/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Emmons-Logan,"Emmons County, Logan County",North Dakota,Donation/support to local cause,2019,NextEra Energy Resources,102,200.0,,"- In 2020, NextEra Energy Resources donated $5,000 to the Linton Chamber of Commerce to help with Emmons County Dairy & Ag Day. ",https://www.ecrecord.com/articles/nextera-helps-dairy-ag-day/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Foxtail,Dickey County,North Dakota,Non-financial,2019,NextEra Energy Resources / Xcel Energy,75,150.0,,"- When constructing the Foxtail Wind Farm in 2019, Xcel Energy planted a pollinator garden with milkweed and pollinator-friendly vegetation, alongside students from the Kulm School District.",https://www.annualreports.com/HostedData/AnnualReportArchive/x/NASDAQ_XEL_2019.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Lindahl,Williams County,North Dakota,Donation/support to local cause,2017,Enel Green Power,75,150.0,Fund,"- During the COVID-19 pandemic, Enel Green Power donated $58,000 to first responders in the Lindahl project area, including Tioga Medical Center and local volunteer fire districts, for training, equipment, and COVID-19 emergency needs. This funding was part of a $1.3 million donation made by Enel Green Power to 75 beneficiaries in the areas of Enel's projects in the U.S. and Canada.

- Enel invested $1 million in Tioga Community Economic Development, matched by state funding, to support Unmanned Aircraft System training and re-skilling for adult learners in the oil and gas industry.

- Enel has supported local schools, particularly STEM education, providing the Tioga Public School District with a $60,000 donation in 2019 and a $16,500 donation in 2021. 

- Enel sponsors the Tioga Drone Camp for Kids, in partnership with the Tioga Economic Development Corporation and Lake Region State College, and brings 200 students annually to develop drones and learn about technology used at Lindahl Wind Farm.

- Enel provides a scholarship for the wind turbine technician program at Lake Region State College.","https://www.lrsc.edu/news/2019-11-12/scholarships-wind-energy-students, https://www.minotdailynews.com/news/local-news/2020/07/new-industry-brings-diversification/, https://image.dem.enel.com/lib/fe3611737364047d7d1671/m/1/416a55a6-6835-4ab2-957f-e6805bf77b6f.pdf, https://www.willistonherald.com/news/education/enel-green-power-donates-to-tioga-schools/article_9f9f293e-bd4c-11e9-bfba-83f60e9ca0b5.html, https://www.kxnet.com/news/local-news/enel-green-power-north-america-donates-1-3m-to-local-frontline-workers/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,New Frontier,McHenry County,North Dakota,Donation/support to local cause,2018,Meadowlark Wind / Capital Power,29,99.0,," - New Frontier Wind has supported community organizations and events, including Velva Food Pantry, Velva Community Development Corporation Community Youth Project, McHenry County Sheriff’s Office Narcotics Detecting K9, Angel Tree Program, Winter Whimsy, Velva Community Halloween Party, Velva Area Dollars for Scholars, and Velva Summer Fastpitch.",https://www.capitalpower.com/operations/new-frontier-wind/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Northern Divide,Burke County,North Dakota,Donation/support to local cause,2020,NextEra Energy Resources,74,200.0,,"- In 2019, Northern Divide wind project donated $14,000 to the Burke County Sheriffs Office to help purchase a new dog for its K-9 program, as well as helping to purchase a new K-9 vehicle and providing training to the handler and dog.",https://m.facebook.com/NextEraEnergyR/posts/burke-county-sheriffs-office-nd-and-the-local-community-are-growing-by-one-we-ar/10162492050475134/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,"Oliver I, II, and III","Morton County, Oliver County",North Dakota,Donation/support to local cause,2006,NextEra Energy Resources,102,198.6,,"- In 2019, NextEra Energy Resources contributed donations of $3,100 and $3,685 to Center-Stanton Elementary School to be used for the purchase of iPads for students.",https://www.nexteraenergyresources.com/red-butte-wind/latest-updates/nextera-energy-donates-ipads.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rugby,Pierce,North Dakota,Donation/support to local cause,2009,Iberdrola / Avangrid,71,149.0,,"- As part of Iberdrola's Avian and Bat Protection Plan, the company contributed to the Roosevelt Park Zoo in Minot, ND to help establish an avian protection program. Representatives of the zoo (including a red-tailed hawk) attended the wind project's dedication in 2010.",https://www.avangrid.com/w/sen-dorganenergy-leaders-and-pierce-county-families-celebrate-north-dakota-s-newest-wind-farm-at-dedication-event-in-rugby,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tatanka,"Dickey County (ND), McPherson County (SD)",North Dakota,Fund,2008,ACCIONA Energy,120,180.0,Donation/support to local cause,"- ACCIONA provides scholarships to students in the areas of four of its wind farms, including Tatanka. Since the program began in 2009, Acciona has awarded over $300,000 in scholarships to students interested in careers related to sustainability or renewable energy. 

- ACCIONA supported the Logan County Sheriff Department in acquiring a K-9 dog, providing training for the dog and handling officer, and retrofitting a patrol vehicle. ","https://nawindpower.com/students-receive-accionas-latest-round-of-wind-scholarships, https://www.acciona.com/projects/scholarship-program/?_adin=02021864894",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Thunder Spirit,Adams County,North Dakota,Donation/support to local cause,2015,ALLETE Clean Energy / Montana-Dakota Utilities,43,107.0,,"- In 2015, ALLETE Clean Energy donated $10,000 to the Adams County Community Foundation, a fund of the North Dakota Community Foundation that supports a wide variety of recipients, including senior centers, hospitals, parks, food pantries, and arts programs.",https://investor.allete.com/news-releases/news-release-details/allete-clean-energy-finalizes-sale-thunder-spirit-wind-project,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Blue Creek,"Van Wert County, Paulding County",Ohio,Fund,2012,Iberdrola,152,304.0,Donation/support to local cause,"- With a donation of $30,000 from Iberdrola, the Van Wert County Foundation established the Iberdrola Renewables Scholarship Fund. The scholarships are designed to support local students who choose to study renewable energy and attend a school within the University System of Ohio. Residents of every Ohio township where Iberdrola Renewables is currently building wind farms are eligible. 

- Blue Creek Wind Farm partners with Vantage Career Center to help prepare students for jobs in the wind industry. Support from Iberdrola has included a $150,000 donation in 2011 to help support the center's expansion into renewable energy education and training, creation of a veterans scholarship program, and partnering on curriculum development. 

- Iberdrola has sponsored community organizations and events, including: Flat Rock Creek Festival, Friends of the Paulding Chamber, Paulding County Youth Baseball, Van Wert County Convention and Visitors’ Bureau’s Rib Fest, Van Wert Elementary School book fair, Van Wert County Junior Fair,  Van Wert Peony Pageant, Van Wert 911 Operations, Van Wert Junior Achievement, and Village of Convoy Fire Department. In 2011, Iberdrola donated $10,000 to the Van Wert County Historical Society and $5,000 to the John Paulding Historical Society.","https://www.brown.senate.gov/newsroom/press/release/brown-visits-van-wert-to-highlight-job-training-partnership-at-blue-creek-wind-farm-, https://www.avangrid.com/w/iberdrola-renewables-funds-wind-technician-training-in-ohio, https://www.avangrid.com/w/van-wert-county-celebrates-new-year-with-new-funding, https://cleanpower.org/blog/the-millions-that-a-wind-farm-gives-to-its-community/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Hog Creek,Hardin County,Ohio,Donation/support to local cause,2017,EDP Renewables,30,66.0,,"- Hog Creek has donated $5,000 to Beatitudes Food Pantry. ","https://www.adaicon.com/news/202009/hog-creek-wind-project-donates-5000-beatitudes-food-pantry, https://www.edpr.com/north-america/sites/edprna/files/2023-02/OH%20Hog%20Creek%20Fact%20Sheet%202022.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Scioto Ridge,Hardin County,Ohio,Donation/support to local cause,2021,RWE,75,250.0,,"- RWE has sponsored the Hardin County Chamber and Business Alliance for several years, contributing $1,000 per year.",,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Arbuckle Mountain,Carter County,Oklahoma,Donation/support to local cause,2015,EDP Renewables,50,100.0,,"- During construction of the wind project, EDPR donated $10,000 to the Smokey Valley Volunteer Fire Department, which had been recently constructed near the wind farm site. The donation was used to install insulation and wood for the purposes of hanging materials and other items within the station.",https://www.edpr.com/en/edpr/arbuckle-mountain-wind-farm-donates-local-fire-station,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Big Smile Wind,Roger Mills County,Oklahoma,Fund,2012,ACCIONA Energy,66,132.0,,- ACCIONA Energy provides scholarships to students in three local school districts.,https://www.altenerg.com/back_issues/novdec2012-story3.htm,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Caddo,Caddo County,Oklahoma,Donation/support to local cause,2021,Apex Clean Energy / ALLETE Clean Energy,110,302.0,,"- The Caddo wind project donated $50,000 each to the Fort Cobb-Broxton School District (for construction of an agricultural education livestock facility) and the Apache Fire Department (for the purchase of equipment to help with situations like wildland fires and bunker fires). The grants were a collaborative effort from the project developer ALLETE Clean Energy ($26,000), general constractor Wanzek Construction ($25,000), turbine manufacturer General Electric ($10,000), power purchaser Hormel Foods, turbine manufacturer Siemens Gamesa, several law firms, and a construction engineering firm.","https://alletecleanenergy.com/OurCompany/OurCulture, https://alletecleanenergy.com/Content/Documents/PressReleases/press-release-021022.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Chisholm View,"Garfield County, Grant County",Oklahoma,Donation/support to local cause,2012,Tradewind Energy / Enel Green Power,140,235.0,,"- In 2014, Chisholm View donated $50,000 to a capital campaign for the Leonardo's Children's Museum. The campaign was launched to raise $6 million for renovations and $2 million dedicated to the endowment fund to support the museum's long-term needs.","https://www.enidnews.com/news/local_news/wind-project-donates-50-000-to-leonardo-s-capital-campaign/article_604b46b5-1f57-57ef-8e30-f7754468f5ac.html, https://journalrecord.com/2014/06/childrens-museum-receives-donation/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
